U,V,Y,d,Time,time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,temperature,u,v,speed,direction,system_torque_knm,generator_speed_rpm,degradation,cycle_factor
0.127334683,5.224631551,2.454745442,0.000297063,01/01/2023 20:00,01/04/2024 00:00,35.5,5.0,0,0 days,975,01/04/2024 00:00,26.811478,297.99365,-1.0400696,3.7369995,3.879034678,285.5527764,101.22436900355754,402.04054824900965,1.0,41.26660650909937
0.117673057,6.369964299,2.671692783,0.000301031,01/01/2023 21:00,01/04/2024 00:00,35.25,4.5,0,0 days,975,01/04/2024 00:00,26.72554,298.48975,2.608368,4.4987183,5.200197108,239.8947362,181.91870874939536,538.9717467934341,1.0,41.26660650909937
0.005878791,6.300370323,55.21387636,0.000299311,01/01/2023 22:00,01/04/2024 00:00,35.25,4.75,0,0 days,975,01/04/2024 00:00,25.252884,298.88818,1.2919617,5.1696167,5.328611626,255.9683722,191.01430375220065,552.2812032130245,1.0,41.26660650909937
0.14834095,5.389029667,2.30015012,0.00029443,01/01/2023 23:00,01/04/2024 00:00,35.25,5.0,0,0 days,975,01/04/2024 00:00,25.616165,298.72803,-0.31741333,4.381531,4.393013217,274.1434671,129.82632799040857,455.31158876821064,1.0,41.26660650909937
0.082814469,6.31301838,4.129238673,0.000302105,02/01/2023 00:00,01/04/2024 00:00,35.0,4.5,0,0 days,975,01/04/2024 00:00,29.096634,297.90186,2.3476257,4.521179,5.094350398,242.5593692,174.58839807791287,528.0013190924092,1.0,41.26660650909937
0.035204801,6.122552047,9.898486245,0.000295504,02/01/2023 01:00,01/04/2024 00:00,35.0,4.75,0,0 days,975,01/04/2024 00:00,27.206009,298.4995,2.1962585,5.1325073,5.582668052,246.8333647,209.66279181151563,578.6127504889479,1.0,41.26660650909937
0.021955432,6.568555814,14.77094392,0.000301288,02/01/2023 02:00,01/04/2024 00:00,35.0,5.0,0,0 days,975,01/04/2024 00:00,26.405228,298.71826,1.445282,4.258484,4.497057487,251.2533603,136.04877395589577,466.0952034047435,1.0,41.26660650909937
0.087157757,9.473432488,3.022113478,0.000200847,02/01/2023 03:00,01/04/2024 00:00,34.75,4.5,0,0 days,975,01/04/2024 00:00,30.377884,297.4038,2.523407,3.4401245,4.266384824,233.7391334,122.44972255738871,442.1872542412546,1.0,41.26660650909937
0.296315438,7.969149497,1.685477543,0.000190975,02/01/2023 04:00,01/04/2024 00:00,34.75,4.75,0,0 days,975,01/04/2024 00:00,27.647415,298.06787,2.6152039,3.6364136,4.479151182,234.2773996,134.9674976953441,464.2393136740087,1.0,41.26660650909937
0.142175424,8.727600539,1.776659067,0.000199747,02/01/2023 05:00,01/04/2024 00:00,34.75,5.0,0,0 days,975,01/04/2024 00:00,25.420853,298.4663,2.9423523,3.7946167,4.801723957,232.2099387,155.1072624833543,497.672202546594,1.0,41.26660650909937
0.032879521,8.544385919,11.73027615,0.000303854,02/01/2023 06:00,01/04/2024 00:00,34.5,4.5,0,0 days,975,01/04/2024 00:00,28.901321,297.91162,3.3730164,2.9557495,4.484829399,221.2278459,135.3099110501909,464.8278296112759,1.0,41.26660650909937
0.076509969,8.454052261,4.516853407,0.000302033,02/01/2023 07:00,01/04/2024 00:00,34.5,4.75,0,0 days,975,01/04/2024 00:00,26.709915,298.0288,3.5107117,3.2350464,4.773952435,222.6599109,153.31827667854338,494.79383748571956,1.0,41.26660650909937
0.131147611,7.906616865,2.447655807,0.00030292,02/01/2023 08:00,01/04/2024 00:00,34.5,5.0,0,0 days,975,01/04/2024 00:00,24.393509,297.8042,4.24704,4.4733276,6.168306784,226.4864529,255.95857561639733,639.3109746994386,1.0,41.26660650909937
0.179680662,8.301062643,1.152264709,0.000299829,02/01/2023 09:00,01/04/2024 00:00,34.25,4.5,0,0 days,975,01/04/2024 00:00,27.471634,298.4038,3.9189148,4.04364,5.631067187,225.8974058,213.31390791851274,583.6290537788911,1.0,41.26660650909937
0.007747285,6.970363454,28.77693025,0.000298618,02/01/2023 10:00,01/04/2024 00:00,34.25,4.75,0,0 days,975,01/04/2024 00:00,26.112259,298.26904,3.8749695,4.3551636,5.829480132,228.3391852,228.61114919411838,604.1934611548777,1.0,41.26660650909937
0.023048301,7.592365862,14.35767928,0.000299163,02/01/2023 11:00,01/04/2024 00:00,34.25,5.0,0,0 days,975,01/04/2024 00:00,24.338821,297.396,4.246063,5.2643433,6.763309943,231.111383,307.7204327277698,700.9797701714988,1.0,41.26660650909937
0.02842132,7.427989329,12.60603209,0.000300339,02/01/2023 12:00,01/04/2024 00:00,34.0,4.5,0,0 days,975,01/04/2024 00:00,26.13179,298.51514,4.3193054,5.121765,6.699916108,229.8582738,301.9788197540204,694.4093488774705,1.0,41.26660650909937
0.027314237,7.860732475,13.48187015,0.000303869,02/01/2023 13:00,01/04/2024 00:00,34.0,4.75,0,0 days,975,01/04/2024 00:00,25.366165,298.85693,4.1269226,4.972351,6.461870055,230.3082051,280.90158811364915,669.7371885610505,1.0,41.26660650909937
0.091745387,6.960546941,3.853781827,0.000303162,02/01/2023 14:00,01/04/2024 00:00,34.0,5.0,0,0 days,975,01/04/2024 00:00,24.588821,297.9038,4.0380554,4.8981323,6.348038393,230.4975853,271.0920884314081,657.9391646481998,1.0,41.26660650909937
